iter	Passed	Remaining
1614	257271	61331
1615	257524	61193
1616	257680	61033
1617	257857	60878
1618	258043	60725
1619	258252	60577
1620	258400	60415
1621	258574	60259
1622	258791	60113
1623	258931	59949
1624	259095	59791
1625	259236	59627
1626	259425	59474
1627	259560	59309
1628	259721	59150
1629	259922	59000
1630	260080	58841
1631	260221	58677
1632	260364	58514
1633	260509	58351
1634	260728	58205
1635	260896	58047
1636	261028	57882
1637	261154	57715
1638	261517	57600
1639	261878	57485
1640	262199	57361
1641	262514	57235
1642	262680	57076
1643	262931	56936
1644	263114	56781
1645	263267	56620
1646	263461	56467
1647	263636	56310
1648	263826	56157
1649	263961	55991
1650	264178	55843
1651	264330	55682
1652	264522	55528
1653	264764	55386
1654	264924	55225
1655	265077	55064
1656	265236	54904
1657	265426	54750
1658	265638	54600
1659	265797	54440
